Name,Ingredients,Instructions
'Burger',"Onion, oil, ground meat, cheese, tomato, lettuce, mayonnaise, ketchup, mustard","Mix the ground beef with chopped onion and fry it in a pan. Assemble the burger with the fried meat and the other items"
'tuna salad',"Onion, oil, potatoes, 1 can of tuna, rice","Cook the rice, chop the potatoes and fry to make french fries, and mix everything. Serve with coriander to decorate"
'wrap',"1 tortilla, avocado, tomato, meat or chicken, lettuce, cheese (optional), dressing (optional)","Put the ingredients inside de tortilla and put it in a pan to warm it"
'taco',"1 tortilla, avocado, tomato, meat, bacon or chicken, rice, beans, cheese (optional), sour cream (optional), salsa (optional)"
'spaghetti',"Pasta, ground meat or sausage, tomato sauce, vegetables (optional)","Cook the pasta according to package instructions. Brown the meat in a pan, add tomato sauce and vegetables (e.g., onions, peppers), simmer. Serve over cooked pasta with grated cheese (optional)"
'meatballs',"Ground meat, breadcrumbs, egg, onion, garlic, herbs and spices","Mix together ground meat, breadcrumbs, egg, chopped onion, garlic, and herbs (e.g., parsley, oregano). Form into balls and cook in a pan or oven. Serve with tomato sauce or pasta"
'pizza',"Pizza dough, tomato sauce, cheese (mozzarella), toppings (e.g., pepperoni, sausage, vegetables)","Prepare pizza dough (homemade or store-bought). Spread tomato sauce on the dough. Add cheese and desired toppings. Bake in a preheated oven until the crust is golden brown and cheese is melted"
'chicken with rice',"Chicken breasts or thighs, rice, vegetables (optional), soy sauce, honey, ginger (optional)","Marinate chicken in a mixture of soy sauce, honey, and ginger (optional). Cook rice according to package instructions. Steam or stir-fry vegetables. Pan-fry or bake the chicken. Serve chicken with rice and vegetables"
'Caesar salad',"Romaine lettuce, croutons, Parmesan cheese, Caesar salad dressing","Wash and chop romaine lettuce. Make or buy croutons. Grate Parmesan cheese. Toss lettuce with croutons and Caesar salad dressing. Top with Parmesan cheese"
'orange chicken',"Chicken breasts or thighs, cornstarch, orange juice, soy sauce, brown sugar, ginger (optional), vegetables (optional), rice","Cut chicken into bite-sized pieces and coat with cornstarch. Fry chicken in oil until golden brown. In a separate pan, mix orange juice, soy sauce, brown sugar, and ginger (optional). Add cooked chicken and vegetables (optional) to the sauce and simmer. Serve with rice"
'Ramen',"1 instant ramen, 1 or 2 eggs, carrots, chicken, hot water","Cook the chicken in boiling water, cut the carrots in sticks, boil the egg and cut in half. One the chicken is fully cooked, cut in pieces and add the hot water, the chicken, carrot into the instant ramen and wait 5 minutes. Serve with cream to get a sweet flavour."
